star_id,star_name,teff_k,mass_solar,radius_solar,metallicity_fe_h,distance_pc,ra_deg,dec_deg,num_planets
178,HD 135344 A,9540.0,,1.5,0.05,141.595,228.9538416,-37.1489176,1
179,HD 136352,5664.0,0.87,1.058,-0.24,14.682,230.4401147,-48.3188174,3
180,HD 137496,5799.0,1.04,1.59,-0.03,155.317,231.7420543,-16.5090014,2
181,HD 1397,5521.0,1.324,2.336,0.29,79.5702,4.4471631,-66.3589285,1
182,HD 152843,6310.0,1.15,1.43,-0.16,107.898,253.7848853,20.491524,2
183,HD 17156,6046.0,1.285,1.517,0.208,78.0863,42.4366123,71.7530882,1
184,HD 183579,5784.0,0.996,0.96,-0.038,57.2651,293.2866147,-54.5327284,1
185,HD 18599,5145.0,0.863,0.767,0.0,38.5653,44.2620144,-56.1918694,1
186,HD 191939,5348.0,0.81,0.94,-0.15,53.6089,302.0256247,66.8503014,6
187,HD 202772 A,6272.0,1.72,2.591,0.3,161.498,319.6995877,-26.6163743,1
188,HD 203030,,,,,39.2503,319.7432238,26.2305846,1
189,HD 20329,5596.0,0.9,1.13,-0.07,63.6796,49.178124,15.6563542,1
190,HD 206893,,1.32,,,40.7583,326.3416874,-12.7833522,2
191,HD 207496,4819.0,0.8,0.769,0.095,23.606,328.7181708,-77.3388025,1
192,HD 207897,5106.0,0.8208,0.7827,-0.03,28.2938,325.2016451,84.3337613,1
193,HD 213885,5978.0,1.068,1.1011,-0.04,48.0883,338.9837166,-59.864829,2
194,HD 21520,5871.0,1.09,1.044,0.049,79.208,51.6403449,-43.6136649,1
195,HD 219134,4699.0,0.81,0.778,0.11,6.53127,348.3372026,57.1696255,6
196,HD 219666,5540.0,1.02,1.059,,94.1719,349.5592665,-56.9039857,1
197,HD 221416,5080.0,1.212,2.943,-0.08,95.5483,353.0331863,-21.8012007,1
198,HD 224018,5784.0,1.013,1.147,0.05,105.48,358.6390056,-4.7233362,3
199,HD 22946,6169.0,1.098,1.117,-0.08,62.7792,54.819538,-42.7630276,3
200,HD 23472,4684.0,0.67,0.71,-0.2,39.0341,55.4590314,-62.7672667,5
201,HD 235088,5075.0,0.849,0.772,-0.02,41.1706,300.6154535,53.3774418,1
202,HD 25463,6353.0,1.251,1.4182,-0.018,45.6181,60.7483361,9.2077676,2
203,HD 260655,3803.0,0.439,0.439,-0.43,10.0055,99.2915429,17.5662696,2
204,HD 2685,6801.0,1.43,1.56,0.02,196.852,7.3289156,-76.304032,1
205,HD 28109,6120.0,1.26,1.446,0.0,139.611,65.2383065,-68.1026875,3
206,HD 307842,5558.0,0.91,0.907,-0.13,64.5997,159.3412205,-63.6556923,1
207,HD 3167,5261.0,0.837,0.88,0.04,47.2899,8.7401487,4.3807215,4
208,HD 332231,6128.0,1.1642,1.266,0.043,80.6665,306.741134,33.7443882,1
209,HD 35843,5666.0,0.94,0.897,-0.27,69.6026,81.3488924,-44.4312849,2
210,HD 42813,5289.0,0.901,0.98,0.24,68.192,93.0578446,-14.6493167,3
211,HD 5278,6203.0,1.126,1.194,-0.12,57.5846,12.5467785,-83.7437671,2
212,HD 6061,5934.0,1.0269,1.0072,-0.05,67.6203,15.5981441,37.1854394,1
213,HD 63433,5553.0,0.956,0.934,-0.07,22.4035,117.4793699,27.3631342,3
214,HD 63935,5513.0,0.9406,0.9598,0.107,48.9739,117.9246417,9.3852412,2
215,HD 73344,6252.6,1.2,1.22,0.143,35.26,129.6894456,23.6852651,3
216,HD 73583,4511.0,0.73,0.65,0.0,31.5666,129.6883026,-13.2565267,2
