star_id,star_name,teff_k,mass_solar,radius_solar,metallicity_fe_h,distance_pc,ra_deg,dec_deg,num_planets
409,Kepler-849,5950.0,1.259,1.822,0.145,822.134,290.8517961,48.5213243,1
410,Kepler-87,5600.0,1.1,1.82,-0.17,1232.9,297.9168433,46.9651146,2
411,Kepler-9,5774.0,1.022,0.958,0.05,628.257,285.5739904,38.4008192,3
412,Kepler-91,4550.0,1.31,6.3,0.11,1294.69,285.6729033,44.1167513,1
413,Kepler-93,5669.0,0.911,0.919,-0.18,95.9115,291.4181275,38.6723124,2
414,Kepler-968,4413.0,0.681,0.667,,290.324,285.6025889,50.1120401,3
415,L 168-9,3842.0,0.614,0.604,-0.03,25.1496,350.0285917,-60.0657292,1
416,L 98-59,3415.0,0.2923,0.3155,-0.46,10.6194,124.5328604,-68.3144658,5
417,LHS 1140,3096.0,0.1844,0.2159,-0.15,14.9861,11.248632,-15.2741085,2
418,LHS 1478,3381.0,0.236,0.246,-0.13,18.2276,44.3388743,76.5514045,1
419,LP 714-47,3950.0,0.59,0.584,0.41,52.616,64.1902212,-12.0848643,1
420,LP 791-18,2960.0,0.139,0.182,-0.09,26.4927,165.6904843,-16.4064445,3
421,LP 890-9,2850.0,0.118,0.1556,-0.028,32.4298,64.1309096,-28.3157909,2
422,LTT 1445 A,3340.0,0.257,0.271,-0.34,6.86929,45.4624781,-16.5944956,2
423,LTT 3780,3358.0,0.381,0.38,0.06,21.9814,154.6449033,-11.717801,2
424,LTT 9779,5443.0,1.02,0.949,0.27,80.4373,358.6688767,-37.6282237,1
425,Lupus-TR-3,5000.0,0.87,0.82,,773.409,232.5774696,-42.9799461,1
426,MASCARA-4,7800.0,1.75,1.79,,170.696,147.5800667,-66.1139253,1
427,NGTS-1,3916.0,0.617,0.573,0.0,218.121,82.7142134,-36.6309812,1
428,NGTS-10,4600.0,0.696,0.697,-0.02,,91.8722801,-25.5948963,1
429,NGTS-11,5050.0,0.862,0.832,0.22,190.422,23.5214497,-14.4191493,1
430,NGTS-12,5690.0,1.021,1.589,-0.03,446.442,176.2499418,-35.640563,1
431,NGTS-13,5819.0,1.3,1.788,0.25,647.595,176.2402326,-38.1397158,1
432,NGTS-14 A,5187.0,0.898,0.842,0.1,322.148,328.5174799,-38.3774193,1
433,NGTS-15,5600.0,0.995,0.954,0.15,786.485,73.3553101,-32.8003484,1
434,NGTS-16,5550.0,1.002,1.213,0.35,898.168,58.2639299,-30.8046405,1
435,NGTS-17,5650.0,1.025,1.337,0.15,1040.28,72.9005729,-34.2262128,1
436,NGTS-18,5610.0,1.003,1.392,0.15,1096.19,180.5462193,-35.5486091,1
437,NGTS-2,6478.0,1.64,1.702,-0.06,356.391,215.1227617,-31.2020698,1
438,NGTS-20,5980.0,1.47,1.78,0.15,382.898,46.2926368,-21.9336472,1
439,NGTS-21,4660.0,0.72,0.86,-0.26,592.891,311.2583112,-35.4278412,1
440,NGTS-23,6057.0,1.01,1.24,-0.26,1074.95,70.4322947,-40.0445299,1
441,NGTS-24,5820.0,1.26,1.64,0.27,683.062,168.5638892,-37.9101328,1
442,NGTS-25,5321.0,0.91,0.86,0.12,521.233,307.4182976,-39.0323568,1
443,NGTS-26,5550.0,0.96,1.16,0.2,1093.69,217.6832961,-31.7324526,1
444,NGTS-27,5700.0,1.07,1.77,0.0,942.122,206.0265266,-32.5229747,1
445,NGTS-3 A,5600.0,1.017,0.93,0.12,743.972,94.4447595,-35.706364,1
446,NGTS-30,5455.0,0.94,0.913,-0.03,238.377,173.714867,-24.6054801,1
447,NGTS-31,5710.0,0.96,1.7,0.0,497.376,80.4212533,-38.656827,1
448,NGTS-32,5680.0,1.07,1.85,-0.03,837.457,223.8576228,-18.4323191,1
449,NGTS-33,7437.0,1.6,1.47,-0.11,437.855,107.8333348,-35.8505185,1
450,NGTS-4,5143.0,0.75,0.84,-0.28,280.555,89.5988945,-30.8117992,1
451,NGTS-5,4987.0,0.661,0.739,0.12,306.779,221.0582692,5.6053735,1
452,NGTS-6,4730.0,0.767,0.754,0.11,308.262,75.795382,-30.3994612,1
453,NGTS-8,5241.0,0.89,0.98,0.24,428.976,328.9759206,-14.0684399,1
454,NGTS-9,6330.0,1.34,1.38,0.31,609.128,141.9206435,-19.3476477,1
455,OGLE-TR-10,5950.0,1.14,1.17,,1344.97,267.8677483,-29.8764758,1
456,OGLE-TR-113,4790.0,0.779,0.774,,566.459,163.1010355,-61.4468591,1
457,OGLE-TR-132,6210.0,1.305,1.32,0.37,2012.62,162.6440933,-61.9572476,1
458,OGLE-TR-182,5924.0,1.14,1.14,0.37,2501.75,167.3279228,-61.0952624,1
459,OGLE-TR-211,6325.0,1.33,1.64,0.11,1515.26,160.0598236,-62.4555353,1
460,OGLE-TR-56,6050.0,1.228,1.363,,,269.1479583,-29.5392222,1
461,OGLE2-TR-L9,6933.0,1.52,1.53,-0.05,1627.63,166.9798793,-61.1462496,1
462,PDS 70,3972.0,,,,113.064,212.0421402,-41.3980405,2
463,PH1,6407.0,1.528,1.734,0.21,1033.16,298.2150641,39.9550863,1
464,PH2,5734.0,0.966,0.949,0.017,343.863,289.7636212,51.962683,1
465,POTS-1,4400.0,0.695,0.588,-0.03,747.959,203.6087259,-66.5811639,1
466,Qatar-1,5013.0,0.838,0.803,0.171,185.615,303.3818697,65.1623313,1
467,Qatar-10,6124.0,1.156,1.254,0.016,559.068,284.4439052,69.5708373,1
468,Qatar-2,4645.0,0.743,0.776,0.02,181.374,207.6554928,-6.8040714,1
469,Qatar-3,6007.0,1.145,1.272,-0.041,735.601,359.1519716,36.2129562,1
470,Qatar-4,5215.0,0.896,0.849,0.103,329.036,4.859275,44.0275965,1
471,Qatar-5,5747.0,1.128,1.076,0.377,367.658,7.0539375,42.0613451,1
472,Qatar-6,5052.0,0.822,0.722,-0.025,100.848,222.2100773,22.1526136,1
473,Qatar-7,6387.0,1.409,1.564,0.276,705.981,358.5151344,37.0218242,1
474,Qatar-8,5738.0,1.029,1.315,0.025,281.498,157.4123405,70.5270835,1
475,Qatar-9,4309.0,0.719,0.696,0.252,213.771,160.748095,60.9641194,1
476,Ross 176,4041.0,0.577,0.569,-0.19,46.4488,305.6897438,47.3086191,1
477,TIC 139270665,5844.0,1.035,1.016,0.156,189.875,124.0338967,33.2914532,2
478,TIC 172900988 Aa,6050.0,1.2384,1.3842,0.34,250.956,128.6616644,31.5539793,1
479,TIC 237913194,5788.0,1.026,1.088,0.14,306.063,22.4458116,-60.7399096,1
480,TIC 241249530,6166.0,1.271,1.397,0.09,324.448,95.3088995,53.2950203,1
481,TIC 257060897,5993.0,1.187,1.863,0.054,505.703,227.5321527,72.7103128,1
482,TIC 279401253,5951.0,1.13,1.06,0.2,285.584,57.6572277,-15.0262251,2
483,TIC 365102760,4900.0,1.17,3.13,0.09,555.546,305.8398236,54.3943194,1
484,TIC 393818343,5756.0,1.082,1.086,0.318,93.7345,310.2917002,3.6382967,1
485,TIC 46432937,3572.0,0.563,0.5299,0.323,90.5369,83.8689794,-14.5971909,1
486,TIC 4672985,5757.0,1.01,1.15,0.14,253.385,38.4706782,-10.6573827,1
487,TOI-1052,6146.0,1.204,1.264,0.14,129.804,337.5102738,-75.6465606,2
488,TOI-1062,5328.0,0.94,0.84,0.14,82.1733,38.1209678,-78.0236828,2
489,TOI-1064,4734.0,0.748,0.726,0.05,68.0726,296.0039349,-47.5620305,2
490,TOI-1075,3875.0,0.604,0.581,-0.08,61.4592,309.9712091,-65.4496994,1
491,TOI-1107,6311.0,1.35,1.81,-0.1,281.314,155.6078632,-82.2188693,1
492,TOI-1117,5635.0,0.97,1.05,0.136,167.598,273.6020606,-66.4199742,3
493,TOI-1130,4360.0,0.745,0.697,0.11,58.2609,286.3760037,-41.4376399,2
494,TOI-1173,5350.0,0.911,0.934,0.139,132.353,197.6830975,70.7680117,1
495,TOI-1194,5394.0,0.9835,0.9608,0.348,149.667,167.8214811,69.9647749,1
496,TOI-1199,5710.0,1.23,1.45,0.44,248.427,166.8806581,61.3525723,1
497,TOI-1201,3476.0,0.512,0.508,0.05,37.8871,42.2476999,-14.5372835,1
498,TOI-1203,5737.0,0.886,1.179,-0.39,64.9943,168.2267358,-34.4069371,4
499,TOI-1221,5592.0,0.93,1.031,0.06,138.411,107.9210254,-65.5088568,1
500,TOI-1231,3553.0,0.485,0.476,0.041,27.6227,156.74726,-52.4678724,1
501,TOI-1238,4089.0,0.59,0.58,0.31,70.7145,201.3823387,68.8360678,2
502,TOI-1246,5151.0,0.87,0.86,0.17,169.422,251.1158702,70.4299917,4
503,TOI-1248,5205.0,0.9042,0.8686,0.223,168.735,259.0235918,63.1056072,1
504,TOI-1249,5497.0,1.0062,0.9785,0.297,139.49,200.5615762,66.3085331,1
505,TOI-125,5320.0,0.859,0.848,-0.02,111.059,23.5934253,-66.6763495,3
506,TOI-1259 A,4775.0,0.744,0.711,-0.5,118.106,282.1001665,79.2564761,1
507,TOI-1260,4227.0,0.679,0.672,-0.1,73.5977,157.1440712,65.8541986,3
508,TOI-1266,3563.0,0.437,0.4232,-0.109,36.0118,197.9965833,65.8336973,3
509,TOI-1268,5300.0,0.96,0.92,0.36,109.557,198.3885831,62.3053799,1
510,TOI-1269,5499.0,0.9027,0.8521,-0.049,172.138,249.6966397,64.559181,1
511,TOI-1272,5065.0,0.8772,0.7934,0.182,137.572,199.1962036,49.8610591,2
512,TOI-1273,5690.0,1.06,1.06,0.07,177.118,214.1208564,58.3902534,1
513,TOI-1278,3799.0,0.54,0.573,-0.01,75.5759,320.4784442,35.648625,1
514,TOI-1279,5457.0,0.8784,0.8426,-0.079,107.055,185.0628734,56.2014094,1
515,TOI-1288,5388.0,0.9552,0.9583,0.257,114.865,313.1670294,65.6087833,2
516,TOI-1294,5718.0,1.1578,1.5566,0.283,332.648,223.0926408,70.4765573,2
517,TOI-1295,6280.0,1.38,1.7,0.26,388.227,256.6722026,67.8715032,1
518,TOI-1296,5567.0,1.1576,1.7031,0.405,323.265,256.7706392,70.2384806,1
519,TOI-1298,5752.0,1.2187,1.4536,0.397,319.036,241.3229012,70.1900397,1
520,TOI-132,5397.0,0.97,0.9,0.16,163.678,338.3996623,-43.436872,1
521,TOI-1333,6274.0,1.464,1.925,0.119,200.492,325.0145363,48.4067674,1
522,TOI-1347,5464.0,0.913,0.83,0.04,147.476,280.3266806,70.2900536,2
523,TOI-1386,5735.0,1.0363,1.0235,0.149,146.858,334.5041029,54.3190454,2
524,TOI-1408,6117.0,1.312,1.53,0.25,139.484,313.5110469,72.5806455,2
525,TOI-1410,4635.0,0.7941,0.7558,0.328,72.7512,334.8828486,42.5603141,2
526,TOI-1411,4115.0,0.6045,0.614,0.012,32.4778,232.946047,47.0555507,1
527,TOI-1416,4884.0,0.798,0.793,0.08,55.0135,216.9234892,41.9529862,1
528,TOI-1420,5510.0,0.987,0.923,0.28,201.918,322.9418092,66.3490054,1
529,TOI-1422,5840.0,0.981,1.019,-0.09,155.141,354.240829,39.6392793,1
530,TOI-1431,7690.0,1.9,1.92,0.09,148.925,316.2036922,55.5880221,1
531,TOI-1437,6008.0,1.1,1.17,-0.4924,103.297,256.1387513,56.842549,1
532,TOI-1438,5230.0,0.876,0.82,0.03,110.513,280.9237844,74.9378327,2
533,TOI-1439,5841.0,1.2313,1.6184,0.226,230.306,241.7639371,67.8776404,1
534,TOI-1443,5224.0,0.7663,0.7511,-0.294,85.8034,297.398678,76.1391776,1
535,TOI-1444,5460.0,0.9513,0.9105,0.146,125.463,305.4749252,70.9437054,1
536,TOI-1448,3412.0,0.372,0.38,0.37,73.3345,316.324003,57.7710946,1
537,TOI-1450 A,3437.0,0.48,0.483,-0.12,22.4467,286.8540627,59.0866254,2
538,TOI-1451,5801.0,1.0022,1.0162,0.019,91.9362,186.5242821,61.2589289,1
539,TOI-1452,3185.0,0.249,0.275,-0.07,30.5212,290.1739741,73.1951082,1
540,TOI-1453,4975.0,0.715,0.72,-0.31,78.7415,258.2232705,57.1977779,2
541,TOI-1468,3376.0,0.3527,0.3714,-0.01,24.7399,16.6538724,19.2249195,2
542,TOI-1470,3709.0,0.471,0.469,0.0,51.9503,10.0891431,61.2133868,2
543,TOI-1472,5133.0,0.9154,0.8377,0.287,121.84,14.1142611,48.6375168,1
544,TOI-150,6255.0,1.351,1.526,0.28,336.267,112.965421,-73.6060358,1
545,TOI-1518,7300.0,1.79,1.95,-0.1,225.888,352.2675207,67.0348062,1
546,TOI-157,5404.0,0.948,1.167,0.24,355.683,73.7014398,-76.6806061,1
547,TOI-1601,5982.0,1.5055,2.195,0.343,336.608,38.361569,41.0134321,1
548,TOI-163,6495.0,1.4352,1.648,0.22,411.719,79.7682532,-71.8955269,1
549,TOI-1669,5497.0,0.9867,1.0561,0.274,111.276,45.9564744,83.5874273,2
550,TOI-1670,6170.0,1.21,1.316,0.09,168.067,259.0172522,72.1611806,2
551,TOI-1685,3470.0,0.466,0.462,0.01,37.6153,68.5939529,43.0370395,1
552,TOI-169,5880.0,1.147,1.288,0.24,407.84,16.7786879,-75.1989452,1
553,TOI-1694,5058.0,0.853,0.8036,0.131,124.68,97.7487104,66.3605956,2
554,TOI-1695,3690.0,0.513,0.515,0.0,45.1309,21.9217346,72.2966148,1
555,TOI-1696,3185.0,0.255,0.2775,0.336,64.9172,65.280648,48.8198312,1
556,TOI-1710,5684.0,1.0258,0.9574,0.147,81.2271,94.2838373,76.21102,1
557,TOI-172,5645.0,1.128,1.777,0.148,342.831,316.6318791,-26.6928654,1
558,TOI-1728,3980.0,0.646,0.6243,0.25,60.798,120.6116787,64.7971531,1
559,TOI-1736,5636.0,1.0373,1.4286,0.148,88.9482,43.4344615,69.101345,2
560,TOI-1742,5815.0,1.0861,1.131,0.193,72.8871,257.3288678,71.8766724,1
561,TOI-1749,3985.0,0.58,0.55,-0.26,99.5561,282.7372281,64.419466,3
562,TOI-1751,5970.0,0.9382,1.3137,-0.373,113.335,243.4888534,63.5335297,1
563,TOI-1753,5621.0,0.9483,0.9715,0.026,226.671,252.4698351,61.1735768,1
564,TOI-1759,4065.0,0.606,0.597,0.05,40.0654,326.8516615,62.7538164,1
565,TOI-1775,5284.0,0.9218,0.8288,0.162,149.234,150.1151015,39.4577506,1
566,TOI-1776,5785.0,0.9196,0.9356,-0.193,44.647,164.7772913,40.9837182,1
567,TOI-1789,5991.0,1.507,2.168,0.373,229.067,142.743406,26.5399951,1
568,TOI-1794,5631.0,0.9698,1.3162,0.035,155.791,203.3974857,49.0608433,1
569,TOI-1801,3863.0,0.556,0.547,-0.19,30.6796,175.5755995,23.0270335,1
570,TOI-1803,4687.0,0.756,0.715,0.014,119.24,178.0461054,35.1718001,2
571,TOI-1807,4914.0,0.8048,0.746,0.044,42.5775,201.2826259,38.9223671,1
572,TOI-181,4994.0,0.822,0.745,0.272,96.2338,352.1725409,-34.4914099,1
573,TOI-1811,4766.0,0.817,0.769,0.306,128.23,188.9223576,27.2143766,1
574,TOI-1820,5734.0,1.04,1.51,0.14,248.504,187.6867207,27.4520016,1
575,TOI-1823,4927.0,0.8414,0.8049,0.243,71.6456,196.2197201,63.753261,1
576,TOI-1824,5165.0,0.8801,0.8123,0.124,59.4314,197.7312286,61.7448492,1
577,TOI-1836,6380.0,1.307,1.577,-0.101,191.649,245.9079242,54.6900774,2
578,TOI-1842,6039.0,1.4643,2.032,0.332,223.465,201.9626552,9.0306437,1
579,TOI-1853,4985.0,0.837,0.808,0.11,165.105,211.4593468,16.9923703,1
580,TOI-1855,5359.0,0.987,1.041,0.399,176.833,205.3539534,17.6868719,1
581,TOI-1898,6241.0,1.2484,1.6131,-0.095,79.6682,144.5553,23.5467464,1
582,TOI-1899,3926.0,0.632,0.607,0.28,128.438,299.4268472,40.1433462,1
583,TOI-1937 A,5814.0,1.072,1.08,0.196,415.135,116.3707214,-52.3832587,1
584,TOI-199,5255.0,0.936,0.82,0.22,102.27,80.1058735,-59.8954326,2
585,TOI-1994,7700.0,1.86,2.3,-0.01,515.603,147.1745753,-51.756564,1
586,TOI-2000,5611.0,1.082,1.134,0.439,175.713,146.3970631,-66.6866307,2
587,TOI-2005,7130.0,1.59,2.02,0.0,328.475,164.031654,-43.3766967,1
588,TOI-2010,5929.0,1.112,1.079,0.168,109.19,292.1669417,53.4873694,1
589,TOI-2015,3297.0,0.3041,0.3273,-0.31,47.3444,232.1326528,27.361073,2
590,TOI-2019,5626.0,1.1832,1.7457,0.409,198.007,234.4317651,48.955206,1
591,TOI-2025,5977.0,1.199,1.459,0.15,335.985,282.7952558,82.2454143,1
592,TOI-2031 A,6490.0,1.174,1.241,-0.24,276.105,331.1178077,81.5659509,1
593,TOI-2076,5192.0,0.8557,0.796,0.02,41.9091,217.3920159,39.7903991,4
594,TOI-2088,5081.0,0.9027,0.8481,0.339,126.46,261.3748943,75.8822796,1
595,TOI-2093,4426.0,0.745,0.729,-0.08,82.7982,302.7375229,70.8696532,2
596,TOI-2095,3759.0,0.44,0.44,-0.24,41.9176,285.6365235,75.4185135,2
597,TOI-2107,5627.0,0.961,0.932,0.07,236.705,286.7965405,-58.6968348,1
598,TOI-2109,6540.0,1.453,1.698,0.068,262.041,253.1862971,16.5799153,1
599,TOI-2120,3131.0,0.211,0.245,0.39,32.1755,23.507315,65.5139877,1
600,TOI-2128,5968.0,1.0251,1.1174,-0.07,36.578,256.9817998,32.1053027,1
601,TOI-2134,4580.0,0.744,0.709,0.12,22.6202,271.9355015,39.0729269,2
602,TOI-2136,3342.0,0.34,0.34,0.03,33.3631,281.1763433,36.5631318,1
603,TOI-2141,5635.0,0.896,0.95,-0.14,77.682,258.7623456,18.3403449,3
604,TOI-2145,6200.0,1.7169,2.7505,0.285,224.731,263.7580753,40.6950428,1
605,TOI-2152,6630.0,1.516,1.612,0.282,303.006,26.3389717,77.7901231,1
606,TOI-2154,6280.0,1.233,1.396,0.011,296.46,71.0281482,84.3642652,1
607,TOI-2158,5673.0,1.12,1.41,0.47,198.473,276.8100527,20.5268868,1
608,TOI-2169 A,6270.0,1.42,1.82,0.123,351.487,279.1701117,23.2586193,1
609,TOI-2180,5695.0,1.111,1.636,0.253,116.685,277.94363,56.6506789,1
610,TOI-2193 A,5966.0,1.082,1.248,0.027,337.064,313.691232,-72.8046404,1
611,TOI-2196,5634.0,1.032,1.043,0.14,259.947,312.3400744,-70.4850723,1
612,TOI-220,5298.0,0.825,0.858,-0.217,90.7402,91.7996988,-61.9972098,1
613,TOI-2207,6101.0,1.296,1.564,0.181,373.345,307.5966925,-44.8876181,1
614,TOI-2236,6248.0,1.343,1.573,0.119,355.59,20.1660113,-86.979965,1
615,TOI-2295,5730.0,1.168,1.459,0.316,126.279,281.5761962,50.4924657,2
616,TOI-2322,4664.0,0.703,0.662,-0.12,59.861,116.9731027,-71.0019671,2
617,TOI-2328,5525.0,0.95,0.9,0.09,231.782,31.6907424,-81.247376,1
618,TOI-2338,5581.0,0.99,1.05,0.22,313.996,81.3445824,-34.6682491,1
619,TOI-2345,4687.0,0.727,0.729,-0.1,81.6541,43.884794,-34.9779745,2
620,TOI-2346,6480.0,1.271,1.38,-0.03,437.484,88.0929073,-13.3724686,1
621,TOI-2364,5306.0,0.954,0.886,0.344,219.614,89.1300265,-5.0120298,1
622,TOI-2368,5360.0,0.897,0.846,0.1,210.915,134.9576234,-48.4884929,1
623,TOI-2373,5651.0,1.041,1.102,0.3,508.686,61.6862197,-16.7557546,1
624,TOI-2374,4802.0,0.75,0.69,0.15,134.655,319.4982407,-22.0498228,1
625,TOI-2379,3707.0,0.645,0.622,0.501,211.247,358.0920465,-53.043156,1
626,TOI-238,5059.0,0.781,0.756,-0.114,80.5407,349.2310814,-18.6066463,2
627,TOI-2382,6033.0,1.26,1.417,0.249,434.92,356.3751852,-16.114124,1
628,TOI-2384,3943.0,0.635,0.6113,0.332,191.51,36.1561463,-65.0001957,1
629,TOI-2406,3100.0,0.166,0.204,-0.26,55.419,8.8060544,-3.3720833,1
630,TOI-2416,5808.0,1.118,1.236,0.32,557.733,57.3389409,-60.7871861,1
631,TOI-2420,,1.158,2.369,,435.174,14.8268138,-19.7711643,1
632,TOI-2421,5607.0,1.131,1.75,0.19,327.927,33.1540208,-35.3909182,1
633,TOI-244,3433.0,0.428,0.426,-0.39,22.0337,10.5697537,-36.7179743,1
634,TOI-2443,4375.0,0.642,0.631,-0.29,23.9258,40.1798608,1.1996757,1
635,TOI-2447,5730.0,1.034,1.006,0.18,148.987,70.9975864,-31.9066369,1
636,TOI-2449,6021.0,1.079,1.065,-0.03,156.786,67.984371,-34.4555327,1
637,TOI-2458,6005.0,1.05,1.31,-0.1,112.958,79.621529,1.253439,2
638,TOI-2485,,1.163,1.72,,397.953,205.2043217,22.9839692,1
639,TOI-2497,7360.0,1.859,2.36,0.094,285.289,90.0625878,11.8840577,1
640,TOI-2498,5905.0,1.12,1.26,0.167,275.265,95.4162204,11.2516477,1
641,TOI-251,5875.0,1.036,0.881,-0.106,99.523,353.0620655,-37.2558629,1
642,TOI-2524,5831.0,1.007,1.119,0.06,438.842,160.8868435,-1.9126984,1
643,TOI-2525,5096.0,0.849,0.785,0.14,395.398,86.8509737,-60.5213081,2
644,TOI-2529,5802.0,1.11,1.7,0.1,296.271,118.9945352,-52.3548332,1
645,TOI-2537,4870.0,0.771,0.771,0.08,184.986,54.3882661,10.0577464,2
646,TOI-2567,5611.0,1.13,1.686,0.241,504.775,288.4656683,66.3479375,1
647,TOI-257,6095.0,1.407,1.867,0.175,76.9028,47.5172608,-50.8322632,1
648,TOI-2570,5771.0,1.063,1.095,0.191,361.857,87.1880397,32.0840435,1
649,TOI-2580,6120.0,1.33,1.81,0.26,379.253,62.1992072,67.1165264,1
650,TOI-2583 A,5936.0,1.215,1.477,0.158,566.189,272.2670293,45.3368996,1
651,TOI-2587 A,5760.0,1.15,1.726,0.13,373.675,115.9317105,-1.073333,1
652,TOI-2589,5579.0,0.93,1.07,0.12,200.273,107.4881501,-37.230948,1
653,TOI-260,4026.0,0.616,0.607,-0.47,20.1852,4.7730178,-9.9661505,1
654,TOI-2641,6100.0,1.16,1.336,-0.15,344.045,171.1303716,-42.7321394,1
655,TOI-269,3514.0,0.3917,0.398,-0.29,57.0225,75.8462827,-54.1777213,1
656,TOI-270,3506.0,0.386,0.38,,22.4793,68.4160804,-51.9573937,3
657,TOI-2714,5665.0,1.07,1.25,0.3,597.873,61.4012482,-14.9267458,1
658,TOI-2796,5764.0,1.063,1.069,0.239,350.343,84.1527191,0.8962788,1
659,TOI-2803 A,6280.0,1.118,1.245,-0.105,494.818,93.1147397,-23.4924956,1
660,TOI-2818,5721.0,0.977,1.229,-0.02,312.674,119.0598183,-35.1167104,1
661,TOI-283,5213.0,0.8,0.85,-0.09,82.7013,118.5693065,-65.441482,1
662,TOI-2842,5910.0,1.135,1.265,0.233,460.995,108.0442066,-10.63934,1
663,TOI-286,5152.0,0.832,0.78,-0.05,59.2293,90.9842762,-60.6663348,2
664,TOI-2876,5271.0,0.939,0.873,0.353,225.744,110.2473528,-21.1146384,1
665,TOI-2886,6240.0,1.229,1.241,0.284,413.673,110.0076569,-10.5698414,1
666,TOI-2969,4738.0,0.71,0.7,0.08,163.996,150.0626247,-47.4452436,1
667,TOI-2977,5691.0,0.936,1.073,0.013,,143.9265177,-60.3574758,1
668,TOI-2981,5940.0,1.03,1.08,-0.11,527.789,163.487394,-25.5245988,1
669,TOI-2986,5906.0,1.122,1.458,0.095,563.149,163.7715605,-6.4784524,1
670,TOI-2989,4672.0,0.77,0.76,-0.04,195.795,171.2316754,-27.0623619,1
671,TOI-2992,6000.0,1.21,1.545,0.084,542.026,164.3165643,-32.3224375,1
672,TOI-3023,5760.0,1.12,1.668,0.085,389.916,165.3158231,-72.3567044,1
673,TOI-3071,6177.0,1.29,1.31,0.35,485.219,173.2790517,-56.5033871,1
674,TOI-3135,5890.0,1.044,0.985,0.071,221.673,207.8592276,-69.7725635,1
675,TOI-3160 A,6190.0,1.088,1.346,-0.114,567.678,224.5658555,-27.6825503,1
676,TOI-3235,3388.8,0.3939,0.3697,0.264,72.811,207.4738488,-46.0665139,1
677,TOI-3261,5068.0,0.861,0.849,0.138,300.141,47.7285242,-73.531972,1
678,TOI-329,5614.0,1.0678,1.5326,0.205,284.388,351.3210955,-15.6346313,1
679,TOI-332,5251.0,0.88,0.87,0.256,222.852,348.0589516,-44.8764852,1
680,TOI-3321,5850.0,1.041,1.549,-0.103,285.895,265.7603351,-65.0082516,1
681,TOI-3331 A,5609.0,1.016,0.952,0.148,217.193,271.3241672,-34.107171,1
682,TOI-3362,6532.0,1.445,1.83,0.017,366.987,155.9841428,-56.8431169,1
683,TOI-3364,5706.0,1.186,1.419,0.387,277.899,144.5377709,-49.3352226,1
684,TOI-3464,6370.0,1.363,1.56,0.045,597.774,234.4830357,-44.7899772,1
685,TOI-3474,6020.0,1.121,1.256,0.146,420.123,233.5033482,-47.9636597,1
686,TOI-3486,4930.0,0.837,0.788,0.283,154.715,249.4432035,-59.3051077,1
687,TOI-3493,5844.0,1.023,1.228,0.03,96.7224,205.7990331,-22.5854441,1
688,TOI-3523 A,6450.0,1.131,1.448,-0.366,645.294,304.2834581,42.9065338,1
689,TOI-3540 A,5810.0,1.081,1.228,0.176,,328.9113712,28.1794996,1
690,TOI-3568,4969.0,0.78,0.719,-0.01,197.906,322.6023682,34.7395805,1
691,TOI-3593,5550.0,1.015,0.918,0.384,226.63,331.506364,34.2116583,1
692,TOI-3629,3870.0,0.63,0.6,0.4,130.091,359.7933851,39.3142556,1
693,TOI-3682,5703.0,1.32,1.735,0.416,404.211,50.2752271,25.2972658,1
694,TOI-3688 A,5950.0,1.199,1.302,0.262,396.378,39.2823371,54.8512152,1
695,TOI-3693,5321.0,0.867,0.791,0.071,176.436,15.6543938,51.3038918,1
696,TOI-3714,3660.0,0.53,0.51,0.1,112.71,69.5523415,39.4580035,1
697,TOI-3757,3913.0,0.64,0.62,0.0,181.139,91.0036423,55.0199793,1
698,TOI-3785,3576.0,0.52,0.5,0.099,79.7634,130.9002258,63.0780768,1
699,TOI-3807,5772.0,1.181,1.468,0.278,421.745,139.1125648,69.0741284,1
700,TOI-3819,5859.0,1.242,1.538,0.273,558.141,121.8632568,29.3886446,1
701,TOI-3837,5905.0,0.89,1.2,-0.26,311.705,152.6662832,24.2731213,1
702,TOI-3856,5622.0,1.096,1.055,0.454,314.443,145.2229223,27.950158,1
703,TOI-3877,5731.0,1.16,1.445,0.269,493.77,170.4544727,33.9913822,1
704,TOI-3884,3180.0,0.298,0.302,0.04,43.1448,181.5718341,12.5070258,1
705,TOI-3894,6000.0,1.138,1.502,0.021,417.365,201.3748265,52.7681036,1
706,TOI-3912,5725.0,1.088,1.392,0.187,465.992,215.8014956,24.0765639,1
707,TOI-3919,6100.0,1.208,1.319,0.175,604.591,208.9447534,40.3918061,1
708,TOI-3976 A,5975.0,1.254,1.501,0.182,516.087,224.3560083,44.2743223,1
709,TOI-3980,5840.0,1.24,1.626,0.188,486.721,12.8419374,59.5758606,1
710,TOI-3984 A,3476.0,0.49,0.47,0.18,108.883,226.3371468,36.7869747,1
711,TOI-4010,4960.0,0.88,0.83,0.37,177.504,20.2148196,66.0722009,4
712,TOI-406,3392.0,0.408,0.41,-0.02,31.0597,49.2626428,-42.2441492,2
713,TOI-4087,6060.0,1.178,1.112,0.237,301.676,217.9257785,83.3727061,1
714,TOI-4127,6096.0,1.23,1.293,0.14,319.632,105.4045516,72.4149297,1
715,TOI-4137,6202.0,1.313,1.438,0.182,334.993,77.612879,70.391079,1
716,TOI-4145 A,5281.0,0.905,0.859,0.168,205.387,39.4297435,80.2673838,1
717,TOI-4153,6860.0,1.572,1.605,0.317,423.84,335.3934698,82.2160792,1
